region,año,demanda
Atacama,2025,742.783
Atacama,2026,747.788
Atacama,2027,752.793
Atacama,2028,757.798
Atacama,2029,762.803
Atacama,2030,767.808
Atacama,2031,772.813
Atacama,2032,777.818
Atacama,2033,782.823
Atacama,2034,787.828
Atacama,2035,792.833
Atacama,2036,797.838
Atacama,2037,802.843
Atacama,2038,807.848
Atacama,2039,812.853
Atacama,2040,817.858
Atacama,2041,822.863
Atacama,2042,827.868
Atacama,2043,832.873
Atacama,2044,837.878
Atacama,2045,842.883
Atacama,2046,847.888
Atacama,2047,852.893
Atacama,2048,857.898
Atacama,2049,862.903
Atacama,2050,867.908
Atacama,2051,872.913
Atacama,2052,877.918
Atacama,2053,882.923
Atacama,2054,887.928
Atacama,2055,892.933
Atacama,2056,897.938
Atacama,2057,902.943
Atacama,2058,907.948
Atacama,2059,912.953
Atacama,2060,917.958
Atacama,2061,922.963
Atacama,2062,927.968
Atacama,2063,932.973
Atacama,2064,937.978
Atacama,2065,942.983
Atacama,2066,947.988
Atacama,2067,952.993
Atacama,2068,957.998
Atacama,2069,963.003
Atacama,2070,968.008
Atacama,2071,973.013
Atacama,2072,978.018
Atacama,2073,983.023
Atacama,2074,988.028
Coquimbo,2025,6807.591
Coquimbo,2026,6860.502
Coquimbo,2027,6913.413
Coquimbo,2028,6966.324
Coquimbo,2029,7019.235
Coquimbo,2030,7072.146
Coquimbo,2031,7125.057
Coquimbo,2032,7177.968
Coquimbo,2033,7230.879
Coquimbo,2034,7283.79
Coquimbo,2035,7336.701
Coquimbo,2036,7389.612
Coquimbo,2037,7442.523
Coquimbo,2038,7495.434
Coquimbo,2039,7548.345
Coquimbo,2040,7601.256
Coquimbo,2041,7654.167
Coquimbo,2042,7707.078
Coquimbo,2043,7759.989
Coquimbo,2044,7812.9
Coquimbo,2045,7865.811
Coquimbo,2046,7918.722
Coquimbo,2047,7971.633
Coquimbo,2048,8024.544
Coquimbo,2049,8077.455
Coquimbo,2050,8130.366
Coquimbo,2051,8183.277
Coquimbo,2052,8236.188
Coquimbo,2053,8289.099
Coquimbo,2054,8342.01
Coquimbo,2055,8394.921
Coquimbo,2056,8447.832
Coquimbo,2057,8500.743
Coquimbo,2058,8553.654
Coquimbo,2059,8606.565
Coquimbo,2060,8659.476
Coquimbo,2061,8712.387
Coquimbo,2062,8765.298
Coquimbo,2063,8818.209
Coquimbo,2064,8871.12
Coquimbo,2065,8924.031
Coquimbo,2066,8976.942
Coquimbo,2067,9029.853
Coquimbo,2068,9082.764
Coquimbo,2069,9135.675
Coquimbo,2070,9188.586
Coquimbo,2071,9241.497
Coquimbo,2072,9294.408
Coquimbo,2073,9347.319
Coquimbo,2074,9400.23
Valparaiso,2025,11584.626
Valparaiso,2026,11655.91
Valparaiso,2027,11727.194
Valparaiso,2028,11798.478
Valparaiso,2029,11869.762
Valparaiso,2030,11941.046
Valparaiso,2031,12012.33
Valparaiso,2032,12083.614
Valparaiso,2033,12154.898
Valparaiso,2034,12226.182
Valparaiso,2035,12297.466
Valparaiso,2036,12368.75
Valparaiso,2037,12440.034
Valparaiso,2038,12511.318
Valparaiso,2039,12582.602
Valparaiso,2040,12653.886
Valparaiso,2041,12725.17
Valparaiso,2042,12796.454
Valparaiso,2043,12867.738
Valparaiso,2044,12939.022
Valparaiso,2045,13010.306
Valparaiso,2046,13081.59
Valparaiso,2047,13152.874
Valparaiso,2048,13224.158
Valparaiso,2049,13295.442
Valparaiso,2050,13366.726
Valparaiso,2051,13438.01
Valparaiso,2052,13509.294
Valparaiso,2053,13580.578
Valparaiso,2054,13651.862
Valparaiso,2055,13723.146
Valparaiso,2056,13794.43
Valparaiso,2057,13865.714
Valparaiso,2058,13936.998
Valparaiso,2059,14008.282
Valparaiso,2060,14079.566
Valparaiso,2061,14150.85
Valparaiso,2062,14222.134
Valparaiso,2063,14293.418
Valparaiso,2064,14364.702
Valparaiso,2065,14435.986
Valparaiso,2066,14507.27
Valparaiso,2067,14578.554
Valparaiso,2068,14649.838
Valparaiso,2069,14721.122
Valparaiso,2070,14792.406
Valparaiso,2071,14863.69
Valparaiso,2072,14934.974
Valparaiso,2073,15006.258
Valparaiso,2074,15077.542
Metropolitana,2025,13215.47
Metropolitana,2026,13369.233
Metropolitana,2027,13522.996
Metropolitana,2028,13676.759
Metropolitana,2029,13830.522
Metropolitana,2030,13984.285
Metropolitana,2031,14138.048
Metropolitana,2032,14291.811
Metropolitana,2033,14445.574
Metropolitana,2034,14599.337
Metropolitana,2035,14753.1
Metropolitana,2036,14906.863
Metropolitana,2037,15060.626
Metropolitana,2038,15214.389
Metropolitana,2039,15368.152
Metropolitana,2040,15521.915
Metropolitana,2041,15675.678
Metropolitana,2042,15829.441
Metropolitana,2043,15983.204
Metropolitana,2044,16136.967
Metropolitana,2045,16290.73
Metropolitana,2046,16444.493
Metropolitana,2047,16598.256
Metropolitana,2048,16752.019
Metropolitana,2049,16905.782
Metropolitana,2050,17059.545
Metropolitana,2051,17213.308
Metropolitana,2052,17367.071
Metropolitana,2053,17520.834
Metropolitana,2054,17674.597
Metropolitana,2055,17828.36
Metropolitana,2056,17982.123
Metropolitana,2057,18135.886
Metropolitana,2058,18289.649
Metropolitana,2059,18443.412
Metropolitana,2060,18597.175
Metropolitana,2061,18750.938
Metropolitana,2062,18904.701
Metropolitana,2063,19058.464
Metropolitana,2064,19212.227
Metropolitana,2065,19365.99
Metropolitana,2066,19519.753
Metropolitana,2067,19673.516
Metropolitana,2068,19827.279
Metropolitana,2069,19981.042
Metropolitana,2070,20134.805
Metropolitana,2071,20288.568
Metropolitana,2072,20442.331
Metropolitana,2073,20596.094
Metropolitana,2074,20749.857
Ohiggins,2025,32357.061
Ohiggins,2026,32675.235
Ohiggins,2027,32993.409
Ohiggins,2028,33311.583
Ohiggins,2029,33629.757
Ohiggins,2030,33947.931
Ohiggins,2031,34266.105
Ohiggins,2032,34584.279
Ohiggins,2033,34902.453
Ohiggins,2034,35220.627
Ohiggins,2035,35538.801
Ohiggins,2036,35856.975
Ohiggins,2037,36175.149
Ohiggins,2038,36493.323
Ohiggins,2039,36811.497
Ohiggins,2040,37129.671
Ohiggins,2041,37447.845
Ohiggins,2042,37766.019
Ohiggins,2043,38084.193
Ohiggins,2044,38402.367
Ohiggins,2045,38720.541
Ohiggins,2046,39038.715
Ohiggins,2047,39356.889
Ohiggins,2048,39675.063
Ohiggins,2049,39993.237
Ohiggins,2050,40311.411
Ohiggins,2051,40629.585
Ohiggins,2052,40947.759
Ohiggins,2053,41265.933
Ohiggins,2054,41584.107
Ohiggins,2055,41902.281
Ohiggins,2056,42220.455
Ohiggins,2057,42538.629
Ohiggins,2058,42856.803
Ohiggins,2059,43174.977
Ohiggins,2060,43493.151
Ohiggins,2061,43811.325
Ohiggins,2062,44129.499
Ohiggins,2063,44447.673
Ohiggins,2064,44765.847
Ohiggins,2065,45084.021
Ohiggins,2066,45402.195
Ohiggins,2067,45720.369
Ohiggins,2068,46038.543
Ohiggins,2069,46356.717
Ohiggins,2070,46674.891
Ohiggins,2071,46993.065
Ohiggins,2072,47311.239
Ohiggins,2073,47629.413
Ohiggins,2074,47947.587
Maule,2025,18925.939
Maule,2026,19068.765
Maule,2027,19211.591
Maule,2028,19354.417
Maule,2029,19497.243
Maule,2030,19640.069
Maule,2031,19782.895
Maule,2032,19925.721
Maule,2033,20068.547
Maule,2034,20211.373
Maule,2035,20354.199
Maule,2036,20497.025
Maule,2037,20639.851
Maule,2038,20782.677
Maule,2039,20925.503
Maule,2040,21068.329
Maule,2041,21211.155
Maule,2042,21353.981
Maule,2043,21496.807
Maule,2044,21639.633
Maule,2045,21782.459
Maule,2046,21925.285
Maule,2047,22068.111
Maule,2048,22210.937
Maule,2049,22353.763
Maule,2050,22496.589
Maule,2051,22639.415
Maule,2052,22782.241
Maule,2053,22925.067
Maule,2054,23067.893
Maule,2055,23210.719
Maule,2056,23353.545
Maule,2057,23496.371
Maule,2058,23639.197
Maule,2059,23782.023
Maule,2060,23924.849
Maule,2061,24067.675
Maule,2062,24210.501
Maule,2063,24353.327
Maule,2064,24496.153
Maule,2065,24638.979
Maule,2066,24781.805
Maule,2067,24924.631
Maule,2068,25067.457
Maule,2069,25210.283
Maule,2070,25353.109
Maule,2071,25495.935
Maule,2072,25638.761
Maule,2073,25781.587
Maule,2074,25924.413
Nuble,2025,4375.747
Nuble,2026,4427.279
Nuble,2027,4478.811
Nuble,2028,4530.343
Nuble,2029,4581.875
Nuble,2030,4633.407
Nuble,2031,4684.939
Nuble,2032,4736.471
Nuble,2033,4788.003
Nuble,2034,4839.535
Nuble,2035,4891.067
Nuble,2036,4942.599
Nuble,2037,4994.131
Nuble,2038,5045.663
Nuble,2039,5097.195
Nuble,2040,5148.727
Nuble,2041,5200.259
Nuble,2042,5251.791
Nuble,2043,5303.323
Nuble,2044,5354.855
Nuble,2045,5406.387
Nuble,2046,5457.919
Nuble,2047,5509.451
Nuble,2048,5560.983
Nuble,2049,5612.515
Nuble,2050,5664.047
Nuble,2051,5715.579
Nuble,2052,5767.111
Nuble,2053,5818.643
Nuble,2054,5870.175
Nuble,2055,5921.707
Nuble,2056,5973.239
Nuble,2057,6024.771
Nuble,2058,6076.303
Nuble,2059,6127.835
Nuble,2060,6179.367
Nuble,2061,6230.899
Nuble,2062,6282.431
Nuble,2063,6333.963
Nuble,2064,6385.495
Nuble,2065,6437.027
Nuble,2066,6488.559
Nuble,2067,6540.091
Nuble,2068,6591.623
Nuble,2069,6643.155
Nuble,2070,6694.687
Nuble,2071,6746.219
Nuble,2072,6797.751
Nuble,2073,6849.283
Nuble,2074,6900.815
